soilMoisture,temperature,soilHumidity,time,airTemperature,windSpeed,airHumidity,windGust,pressure,ph,rainfall,nitrogen,phosphorus,potassium,status
54,22,70,21,19.52,2.13,55.04,6.3,101.5,6.502985292,202.9355362,90,42,43,ON
12,20,40,104,19.49,2.01,55.17,10.46,101.5,7.038096361,226.6555374,85,58,41,OFF
34,26,35,62,19.47,1.9,55.3,14.63,101.51,7.840207144,263.9642476,60,55,44,ON
7,44,44,93,19.54,2.28,54.2,16.08,101.51,6.980400905,242.8640342,74,35,40,OFF
50,38,23,92,19.61,2.66,53.09,17.52,101.51,7.628472891,262.7173405,78,42,42,OFF
4,26,52,6,19.67,2.51,51.91,14.69,101.51,7.073453503,251.0549998,69,37,42,ON
15,34,58,82,19.74,2.36,50.72,11.85,101.5,5.70080568,271.3248604,69,55,38,ON
45,30,43,85,19.8,2.21,49.54,9.02,101.5,5.718627178,241.9741949,94,53,40,ON
47,4,42,2,19.91,2.46,47.7,7.23,101.5,6.685346424,230.4462359,89,54,38,OFF
19,41,22,0,20.02,2.71,45.86,5.44,101.5,6.336253525,221.2091958,68,58,38,ON
63,44,65,75,20.1,2.8,44.76,6.29,101.5,5.386167788,264.6148697,91,53,40,ON
88,34,41,71,20.19,2.89,43.67,7.14,101.49,7.50283396,250.0832336,90,46,42,ON
39,20,70,82,20.3,3,42.56,11.96,101.49,5.108681786,284.4364567,78,58,44,ON
65,43,44,93,20.41,3.11,41.44,16.78,101.49,6.98435366,185.2773389,93,56,36,OFF
50,27,50,4,20.41,3.5,41.58,17.48,101.48,6.94801983,209.5869708,94,50,37,ON
39,22,48,80,20.41,3.9,41.71,18.18,101.48,7.042299069,231.0863347,60,48,39,ON
18,33,44,74,20.61,4.74,40.34,23.04,101.48,6.249050656,276.6552459,85,38,41,ON
66,43,35,64,20.81,5.58,38.96,27.91,101.48,6.970859754,206.2611855,91,35,39,ON
68,25,59,3,20.93,5.74,37.33,26.29,101.48,5.953933276,224.5550169,77,38,36,ON
20,36,53,74,21.06,5.89,35.69,24.67,101.48,5.85393208,291.2986618,88,35,40,ON
40,17,35,70,21.18,6.04,34.06,23.05,101.47,6.442475375,185.4974732,89,45,36,ON
2,34,64,101,21.3,6.2,32.42,21.43,101.47,5.070175667,231.3843163,76,40,43,OFF
22,35,32,109,21.35,6.06,31.07,21.84,101.46,6.012632591,213.3560921,67,59,41,OFF
1,19,70,56,21.4,5.93,29.72,22.26,101.46,6.254028451,233.1075816,83,41,43,ON
5,23,27,4,21.44,5.8,28.38,22.67,101.46,7.375482851,224.0581164,98,47,37,ON
10,28,30,75,21.49,5.66,27.03,23.08,101.45,7.778915154,257.0038865,66,53,41,ON
25,13,66,50,21.56,7.11,26.62,36.03,101.44,6.286500176,271.3586137,97,59,43,ON
20,45,61,83,21.62,8.56,26.22,48.98,101.43,7.070959995,260.2634026,97,50,41,ON
40,29,39,98,21.66,8.89,25.72,48.02,101.42,6.244841491,240.0810647,60,49,44,OFF
26,13,70,71,21.69,9.21,25.21,47.06,101.41,6.043304899,197.9791215,84,51,35,ON
71,6,59,88,21.48,8.76,25.8,46.17,101.4,5.824709117,272.2017204,73,57,41,OFF
37,21,24,22,21.28,8.32,26.39,45.28,101.4,6.357389366,200.0882787,92,35,40,ON
76,12,47,51,21.3,8.61,25.53,46.64,101.39,6.364134968,224.6757231,85,37,39,OFF
44,24,45,82,21.32,8.9,24.67,48,101.38,5.01450727,270.4417274,98,53,38,ON
24,8,47,38,21.28,8.22,24.32,45.43,101.38,6.149410611,233.1321372,88,54,44,OFF
70,6,63,90,21.24,7.53,23.96,42.86,101.37,5.950660556,193.3473987,95,55,42,OFF
32,23,28,84,21.2,7.7,23.81,42.14,101.36,5.960370061,272.2999056,99,57,35,OFF
44,24,39,77,21.16,7.87,23.66,41.43,101.36,5.561398642,285.2493645,95,39,36,ON
4,45,49,32,21.13,8.04,23.5,40.72,101.35,7.416245107,298.4018471,60,43,44,ON
63,40,48,89,21.09,8.21,23.35,40,101.35,5.583370042,257.0343554,63,44,41,ON
49,29,55,4,21.1,8.33,23.09,41.54,101.35,6.430010215,248.7183228,62,42,36,ON
26,32,70,73,21.11,8.46,22.84,43.08,101.34,5.534878156,209.9001977,64,45,43,ON
58,32,38,91,21.12,8.58,22.58,44.61,101.34,6.903985986,200.834898,83,60,36,OFF
45,0,69,87,21.13,8.7,22.32,46.15,101.34,6.271478838,298.5601175,82,40,40,OFF
37,7,32,76,20.94,7.26,22.58,38.26,101.34,7.224285503,265.5355937,85,52,45,ON
16,44,57,93,20.76,5.82,22.83,30.38,101.34,6.13428721,183.6793207,91,35,38,OFF
75,2,31,96,20.56,5.31,23.4,27.83,101.34,5.206373153,196.9560008,76,49,42,OFF
82,16,62,33,20.36,4.8,23.97,25.28,101.34,7.782051313,233.0453455,74,39,38,OFF
72,28,21,92,20.15,4.28,24.54,22.72,101.33,7.062779015,210.8142087,79,43,39,OFF
53,1,51,32,19.95,3.77,25.11,20.17,101.33,7.730367824,253.7202781,88,55,45,OFF
13,24,48,17,19.71,3.73,26.29,13.57,101.34,5.286203711,219.9048349,60,36,43,OFF
41,18,34,86,19.47,3.69,27.47,6.96,101.34,6.766240045,208.5810155,76,60,39,ON
53,2,30,64,19.32,3.44,27.99,9.76,101.34,7.382762603,195.0948311,93,56,42,OFF
76,14,48,58,19.18,3.18,28.51,12.57,101.34,5.658169482,227.3637009,65,60,43,OFF
9,36,37,96,19.21,3.87,28.64,12.88,101.34,5.543360238,286.5083725,95,52,36,OFF
66,1,56,106,19.24,4.56,28.77,13.19,101.34,6.215109715,283.9338466,75,38,39,OFF
12,16,25,94,19.17,4.86,29.56,15.48,101.34,7.120272972,217.3788583,74,54,38,OFF
29,10,67,50,19.1,5.16,30.36,17.78,101.33,5.950647577,267.9761948,91,36,45,ON
37,34,57,2,19.02,4.45,31.01,17.78,101.33,7.236705436,191.9535738,71,46,40,ON
8,28,67,10,18.93,3.74,31.66,17.78,101.33,6.501697816,277.9626192,99,55,35,ON
55,1,68,37,18.74,3.55,31.96,13.49,101.33,7.592490617,245.1511304,72,40,38,ON
9,1,32,101,18.55,3.35,32.25,9.2,101.33,5.875345751,245.6626799,83,58,45,OFF
41,27,23,63,18.63,4.05,31.86,10.32,101.33,6.932400225,279.5451717,93,58,38,ON
31,8,33,43,18.71,4.75,31.47,11.43,101.33,6.946209881,202.3838319,70,36,42,ON
80,38,52,12,18.87,4.7,30.63,14.41,101.34,5.739175027,263.6372176,76,47,42,OFF
7,27,59,107,19.03,4.64,29.79,17.39,101.34,6.738652179,182.5616319,99,41,36,OFF
13,4,41,23,19.02,4.39,29.64,19.8,101.34,5.594819626,198.6730942,99,54,37,ON
42,18,36,39,19,4.14,29.5,22.22,101.35,6.946636369,243.5120414,86,59,35,ON
72,21,26,63,19.04,4.35,29.16,23.32,101.35,5.012139669,263.1103304,69,46,41,OFF
21,33,21,5,19.07,4.57,28.81,24.43,101.35,6.363472208,269.5039162,91,56,37,ON
14,4,51,28,19.11,4.78,28.47,25.53,101.35,6.880431223,204.8001847,61,52,41,ON
16,19,51,40,19.11,4.28,28.2,22.9,101.35,7.300410836,260.8875056,67,45,38,ON
11,9,26,104,19.1,3.78,27.92,20.26,101.36,6.587918708,295.6094492,79,42,37,OFF
7,17,52,17,19.1,3.28,27.65,17.63,101.36,7.283736617,192.3197536,78,43,42,OFF
56,3,64,90,19.1,2.78,27.38,15,101.37,7.023936392,257.4914906,75,54,36,ON
42,19,55,11,18.87,2.01,27.66,11.76,101.37,6.939083505,278.0791793,97,36,45,ON
78,41,70,62,18.64,1.25,27.93,8.51,101.37,7.868474653,280.4044392,67,47,44,ON
16,37,48,48,18.48,1.41,28.11,9.76,101.36,5.005306977,185.9461429,73,35,38,ON
87,14,21,86,18.31,1.57,28.29,11.01,101.36,6.136131869,194.5766559,77,36,37,OFF
22,22,55,94,18.46,1.6,27.32,9.73,101.36,7.524080076,200.9133156,81,41,38,OFF
77,41,47,89,18.62,1.62,26.36,8.45,101.37,5.706943251,182.9043504,68,57,43,ON
45,31,65,15,18.72,2.07,25.4,12.74,101.38,5.758506323,195.3574542,72,45,35,ON
